condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,101,2.5767778465787874,159.61838291646686,-95.4590064,3.38,203.27,-51.8,0.3246641625179302,0.3246641625179302,-0.5673400337443348,-0.5673400337443348
B_PA2_to_C2,102,3.6079343454343777,159.57629336716622,-95.47812162,4.73,203.24,-51.8,0.324522208710749,0.324522208710749,-0.5711386197195658,-0.5711386197195658
B_PA2_to_C2,103,4.638647632848867,159.52611858691432,-95.5076537,6.08,203.21,-51.8,0.3243030590148579,0.3243030590148579,-0.5770061783360337,-0.5770061783360337
B_PA2_to_C2,104,5.669623214271551,159.4697611435249,-95.52568922,7.429999999999999,203.16,-51.8,0.3241693642000895,0.3241693642000895,-0.5805876981698481,-0.5805876981698481
B_PA2_to_C2,105,6.700121925251263,159.40533282652552,-95.55412924,8.779999999999998,203.11,-51.8,0.3239588303650036,0.3239588303650036,-0.5862306365153417,-0.5862306365153417
B_PA2_to_C2,106,7.730567856329178,159.3337793776481,-95.58201937,10.13,203.05,-51.8,0.32375257347857284,0.32375257347857284,-0.5917624971636283,-0.5917624971636283
B_PA2_to_C2,107,8.761023693413758,159.2550967892871,-95.60935965,11.48,202.98,-51.8,0.3235505817087432,0.3235505817087432,-0.5971833830759734,-0.5971833830759734
B_PA2_to_C2,108,9.79230860576119,159.17017038819276,-95.62523326,12.83,202.89,-51.8,0.32343345187986944,0.32343345187986944,-0.600328365719192,-0.600328365719192
B_PA2_to_C2,109,10.823049629380392,159.0771956622319,-95.65148498,14.18,202.8,-51.8,0.32324004852999744,0.32324004852999744,-0.6055238165970811,-0.6055238165970811
B_PA2_to_C2,110,11.853073525555008,158.97620771119838,-95.68808923,15.53,202.71,-51.8,0.32297059759042607,0.32297059759042607,-0.6127673408988841,-0.6127673408988841
B_PA2_to_C2,111,12.876635432507706,158.8698261914691,-95.71212887,16.87,202.6,-51.8,0.322793824239013,0.322793824239013,-0.6175227402605517,-0.6175227402605517
B_PA2_to_C2,112,13.908082414322577,158.75543431776583,-95.73666211,18.22,202.48,-51.8,0.32261374097249024,0.32261374097249024,-0.6223698585888245,-0.6223698585888245
B_PA2_to_C2,113,14.9387643683921,158.6330464692757,-95.7715227,19.57,202.36,-51.8,0.32235810718747226,0.32235810718747226,-0.6292551419295821,-0.6292551419295821
B_PA2_to_C2,114,15.963436856744876,158.50534351485072,-95.79363225,20.91,202.22,-51.8,0.32219618766936375,0.32219618766936375,-0.6336191345531557,-0.6336191345531557
